pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
211.6,-57.5,-90.0,top,C1,CC0805ZKY5V5BB226 ,,C_0805_2012Metric,22uF,smt
215.35,-71.125,90.0,top,C10,,,C_0603_1608Metric,100pF,smt
214.7,-67.2,90.0,top,C11,,,C_0805_2012Metric,22uF,smt
218.1,-67.2,90.0,top,C12,,,C_0805_2012Metric,22uF,smt
221.5,-104.0,90.0,top,C13,CX0603MRX7R8BB223,,C_0603_1608Metric,22nF,smt
235.5,-104.0,90.0,top,C14,CX0603MRX7R8BB223,,C_0603_1608Metric,22nF,smt
207.5,-114.0,90.0,top,C15,CX0603MRX7R8BB223,,C_0603_1608Metric,22nF,smt
241.75,-64.0,-90.0,top,C16,,,C_0805_2012Metric,2.2uF,smt
225.0,-71.2,90.0,top,C17,,,C_0805_2012Metric,2.2uF,smt
221.5,-114.0,90.0,top,C18,CX0603MRX7R8BB223,,C_0603_1608Metric,22nF,smt
222.95,-74.75,0.0,top,C19,,,C_0805_2012Metric,2.2uF,smt
223.0,-59.0,180.0,top,C2,CS0603KRX7R9BB471,,C_0603_1608Metric,100pF,smt
205.9,-109.95,-90.0,top,C20,,,C_0805_2012Metric,2.2uF,smt
235.5,-114.0,90.0,top,C21,CX0603MRX7R8BB223,,C_0603_1608Metric,22nF,smt
224.6,-62.85,90.0,top,C22,,,C_0805_2012Metric,2.2uF,smt
221.45,-67.25,90.0,top,C23,,,C_0805_2012Metric,2.2uF,smt
203.5,-103.8,90.0,top,C24,,,C_0805_2012Metric,2.2uF,smt
224.225,-86.5,180.0,bottom,C25,CC0603JRX7R8BB223,,C_0603_1608Metric,22nF,smt
177.85,-85.79884,90.0,top,C26,CX0603MRX7R8BB223,,C_0603_1608Metric,22nF,smt
231.0,-86.5,180.0,bottom,C27,CX0603MRX7R8BB223,,C_0603_1608Metric,22nF,smt
228.225,-84.0,0.0,bottom,C28,CX0603MRX7R8BB223,,C_0603_1608Metric,22nF,smt
234.725,-88.0,0.0,bottom,C29,CX0603MRX7R8BB223,,C_0603_1608Metric,22nF,smt
217.9,-62.8,-90.0,top,C3,,,C_0805_2012Metric,22uF,smt
225.275,-81.0,180.0,bottom,C30,CX0603MRX7R8BB223,,C_0603_1608Metric,22nF,smt
228.275,-90.0,180.0,bottom,C31,CX0603MRX7R8BB223,,C_0603_1608Metric,22nF,smt
246.55,-96.15,90.0,top,C32,CX0603MRX7R8BB223,,C_0603_1608Metric,22nF,smt
189.175,-77.55,0.0,top,C33,CX0603MRX7R8BB223,,C_0603_1608Metric,22nF,smt
219.375,-77.35,90.0,top,C34,CX0603MRX7R8BB223,,C_0603_1608Metric,22nF,smt
240.4,-92.5,90.0,top,C35,CX0603MRX7R8BB223,,C_0603_1608Metric,22nF,smt
249.5,-114.0,90.0,top,C36,CX0603MRX7R8BB223,,C_0603_1608Metric,22nF,smt
221.2,-62.8,-90.0,top,C4,,,C_0805_2012Metric,22uF,smt
249.55,-83.25,-90.0,top,C48,CX0603MRX7R8BB223,,C_0603_1608Metric,22nF,smt
224.275,-83.0,180.0,bottom,C49,CX0603MRX7R8BB223,,C_0603_1608Metric,22nF,smt
188.35,-103.3,-90.0,top,C5,CC0805ZKY5V5BB226 ,,C_0805_2012Metric,22uF,smt
235.775,-83.0,0.0,bottom,C50,CX0603MRX7R8BB223,,C_0603_1608Metric,22nF,smt
234.275,-81.0,0.0,bottom,C51,CX0603MRX7R8BB223,,C_0603_1608Metric,22nF,smt
189.275,-93.55,180.0,top,C52,CX0603MRX7R8BB223,,C_0603_1608Metric,22nF,smt
232.5,-90.0,0.0,bottom,C53,CX0603MRX7R8BB223,,C_0603_1608Metric,22nF,smt
202.3,-107.725,90.0,top,C6,,,C_0603_1608Metric,100pF,smt
205.85,-101.95,90.0,top,C7,,,C_0805_2012Metric,22uF,smt
199.8,-103.8,90.0,top,C8,,,C_0805_2012Metric,22uF,smt
205.65,-71.1,-90.0,top,C9,CC0805ZKY5V5BB226 ,,C_0805_2012Metric,22uF,smt
227.5,-60.5,-90.0,top,D1,STPS2L30AF,,D_SMA,STPS2L40AF,smt
252.5,-67.75,-90.0,top,D19,LTST-C170KRKT,,LED_0805_2012Metric,RED,smt
187.0,-114.0,90.0,top,D2,STPS2L30AF,,D_SMA,STPS2L40AF,smt
247.75,-67.75,-90.0,top,D3,LTST-C170KRKT,,LED_0805_2012Metric,YELLOW,smt
258.0,-72.0,0.0,top,J1,,,PinHeader_1x13_P2.54mm_Horizontal,Conn_01x13_Socket,tht
227.96,-68.42,0.0,top,J4,,,PinHeader_2x03_P2.54mm_Vertical,CONN_02X03,tht
212.6,-62.75,0.0,top,L1,DFE322512F-2R2M=P2,,L_1008_1210,2.2uH,smt
209.77,-67.3,0.0,top,L2,,,L_1008_1210,2.2uH,smt
194.35,-107.8,0.0,top,L3,,,L_1008_1210,2.2uH,smt
247.75,-63.925,-90.0,top,R1,,,R_0603_1608Metric,549,smt
248.5,-88.25,90.0,top,R11,RC0603FR-0710KL,,R_0603_1608Metric,10k,smt
241.5,-75.325,-90.0,top,R12,,,R_0603_1608Metric,10k,smt
248.5,-75.325,-90.0,top,R27,,,R_0603_1608Metric,10k,smt
245.5,-88.25,90.0,top,R28,,,R_0603_1608Metric,10k,smt
245.0,-75.325,-90.0,top,R29,,,R_0603_1608Metric,1.1k,smt
242.5,-88.25,90.0,top,R30,AC0603FR-104K7L,,R_0603_1608Metric,4.7k,smt
237.25,-74.175,-90.0,top,R31,,,R_0603_1608Metric,15k,smt
235.5,-74.175,-90.0,top,R32,,,R_0603_1608Metric,15k,smt
233.75,-74.175,-90.0,top,R33,,,R_0603_1608Metric,15k,smt
252.5,-63.825,0.0,top,R37,,,R_0603_1608Metric,549,smt
242.0,-71.175,-90.0,top,R49,AC0603JR-0727RL,,R_0603_1608Metric,27,smt
239.0,-71.175,-90.0,top,R50,AC0603JR-0727RL,,R_0603_1608Metric,27,smt
242.675,-67.75,0.0,top,R9,RC0603FR-0715KL,,R_0603_1608Metric,15k,smt
219.5,-60.2,0.0,top,RA1,RC0603FR-1015KL,,R_0603_1608Metric,15k,smt
218.3,-71.175,90.0,top,RA2,,,R_0603_1608Metric,15k,smt
199.4,-107.725,90.0,top,RA3,,,R_0603_1608Metric,15k,smt
219.425,-55.9,180.0,top,RB1,RC0603FR-1018KL,,R_0603_1608Metric,18k,smt
212.4,-71.175,90.0,top,RB2,AC0603FR-104K7L,,R_0603_1608Metric,4.7k,smt
196.5,-104.025,-90.0,top,RB3,RT0603FRE073K3L,,R_0603_1608Metric,3.3k,smt
225.0,-67.4325,-90.0,top,RP1,,,R_0805_2012Metric_Pad1.29x1.40mm_HandSolder_Jumper_NC,0,tht
221.45,-71.0675,-90.0,top,RP2,,,R_0805_2012Metric_Pad1.29x1.40mm_HandSolder_Jumper_NC,0,tht
205.9,-105.6825,-90.0,top,RP3,,,R_0805_2012Metric_Pad1.29x1.40mm_HandSolder_Jumper_NC,0,tht
230.0,-85.0,180.0,top,U1,LFE5U-85F-8BG381I,,BGA-381_pitch0.8mm_dia0.4mm,LFE5U-85F-8BG381I,smt
245.095,-81.698,90.0,top,U10,IS25LP128F-JBLE,,SOA008-150-208mil,IS25LP128F-JBLE,smt
227.0,-114.0,90.0,top,U11,,,DBQ24-L,SN74LVC8T245,smt
227.0,-104.0,90.0,top,U12,,,DBQ24-L,SN74LVC8T245,smt
241.0,-114.0,90.0,top,U13,,,DBQ24-L,SN74LVC8T245,smt
255.0,-114.0,90.0,top,U14,,,DBQ24-L,SN74LVC8T245,smt
190.0,-85.69884,90.0,top,U2,MT48LC16M16A2TG-6A,,TSOP54,MT48LC16M16A2TG,smt
215.5,-58.05,-90.0,top,U3,TLV62569DBVR,,TSOT-25,TLV62569DBV,smt
208.35,-71.2,180.0,top,U4,TLV62569DBVR,,TSOT-25,TLV62569DBV,smt
192.05,-103.8,-90.0,top,U5,TLV62569DBVR,,TSOT-25,TLV62569DBV,smt
238.0,-66.8125,0.0,top,U6,FT231XQ,,FT231X-QFN-20-1EP_4x4mm_P0.5mm_EP2x2mm,FT231XQ,smt
213.0,-114.0,90.0,top,U8,,,DBQ24-L,SN74LVC8T245,smt
241.0,-104.0,90.0,top,U9,,,DBQ24-L,SN74LVC8T245,smt
234.7,-57.0,180.0,top,US1,10118192-0001LF,,USB-MICRO-B-FCI-10118192-0001LF,MICRO_USB,smt
250.7,-94.71,90.0,top,Y1,FNETHE025,,Crystal_SMD_7050_4Pads,FNETHE025,smt
